Rupture,Magnitude,Aggregate Loss
smlt=00|ses=0006|src=227-105|rup=003-01,6.2500000,62117435.3961000
smlt=00|ses=0010|src=233-11|rup=001-01,5.2500000,61103266.7854000
smlt=00|ses=0006|src=386-47|rup=001-01,5.2500000,60661614.6776000
smlt=00|ses=0005|src=233-69|rup=001-01,5.2500000,60566820.4929000
smlt=00|ses=0001|src=227-204|rup=001-01,5.2500000,60479145.4687000
smlt=00|ses=0009|src=235-282|rup=001-01,5.2500000,60353141.8922000
smlt=00|ses=0003|src=235-350|rup=003-01,6.2500000,59826245.1464000
smlt=00|ses=0005|src=235-465|rup=001-01,5.2500000,58895379.9451000
smlt=00|ses=0006|src=386-56|rup=002-01,5.7500000,58096780.0929000
smlt=00|ses=0006|src=374-255|rup=001-01,5.2500000,57918680.4264000
smlt=00|ses=0010|src=235-322|rup=002-01,5.7500000,57384317.4667000
smlt=00|ses=0003|src=227-113|rup=001-01,5.2500000,56720428.6178000
smlt=00|ses=0010|src=227-124|rup=001-01,5.2500000,56666663.4557000
